07:44:22  [main] 	Initializing Control Panel
08:13:56  [mysql] 	Status change detected: running
08:13:58  [mysql] 	Status change detected: stopped
08:13:58  [mysql] 	Error: MySQL shutdown unexpectedly.
08:13:58  [mysql] 	This may be due to a blocked port, missing dependencies, 
08:13:58  [mysql] 	improper privileges, a crash, or a shutdown by another method.
08:13:58  [mysql] 	Press the Logs button to view error logs and check
08:13:58  [mysql] 	the Windows Event Viewer for more clues
08:13:58  [mysql] 	If you need more help, copy and post this
08:13:58  [mysql] 	entire log window on the forums
08:18:26  [mysql] 	Status change detected: running
08:19:05  [Apache] 	Status change detected: stopped
08:19:06  [mysql] 	Status change detected: stopped
08:19:06  [mysql] 	Error: MySQL shutdown unexpectedly.
08:19:06  [mysql] 	This may be due to a blocked port, missing dependencies, 
08:19:06  [mysql] 	improper privileges, a crash, or a shutdown by another method.
08:19:06  [mysql] 	Press the Logs button to view error logs and check
08:19:06  [mysql] 	the Windows Event Viewer for more clues
08:19:06  [mysql] 	If you need more help, copy and post this
08:19:06  [mysql] 	entire log window on the forums
08:34:02  [Apache] 	Attempting to start Apache app...
08:34:02  [Apache] 	Status change detected: running
08:34:03  [mysql] 	Attempting to start MySQL app...
08:34:03  [mysql] 	Status change detected: running
08:39:36  [mysql] 	Attempting to stop MySQL app...
08:39:36  [mysql] 	Status change detected: stopped
08:39:37  [mysql] 	Attempting to start MySQL app...
08:39:37  [mysql] 	Status change detected: running
08:39:39  [mysql] 	Attempting to stop MySQL app...
08:39:39  [mysql] 	Status change detected: stopped
08:39:40  [mysql] 	Attempting to start MySQL app...
08:39:40  [mysql] 	Status change detected: running
08:39:41  [mysql] 	Attempting to stop MySQL app...
08:39:42  [mysql] 	Status change detected: stopped
08:39:42  [mysql] 	Attempting to start MySQL app...
08:39:42  [mysql] 	Status change detected: running
08:46:22  [main] 	Deinitializing Modules
08:46:22  [main] 	Deinitializing Control Panel

